,Bags Name,Prices,Reviews,Ratings
0,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",3.9 out of 5 stars,685
1,"Amazon Basics - Laptop Backpack/Casual Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Lightweight, Sleek and Modern Design","1,209",2.0 out of 5 stars,2
2,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0 out of 5 stars,"51,405"
3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,"9,242"
4,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9 out of 5 stars,463
5,Kuber Industries Women's Handkerchief Set (Cream),312.,3.8 out of 5 stars,473
6,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),615,3.9 out of 5 stars,"4,074"
7,ADISA women girls embroided sling bag,495,4.2 out of 5 stars,"1,412"
8,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,"1,039",4.2 out of 5 stars,"3,601"
9,Skybags Brat Black 46 Cms Casual Backpack,"1,201",4.1 out of 5 stars,"3,385"
10,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",669,3.9 out of 5 stars,"2,194"
11,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,699,4.3 out of 5 stars,"5,324"
12,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",889,4.1 out of 5 stars,"7,655"
13,DEIN KLEIDER Men's Nylon Messenger Bag,299,4.0 out of 5 stars,"4,404"
14,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014",349,4.0 out of 5 stars,21
15,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Sea Green),"5,600",4.3 out of 5 stars,"7,647"
16,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)","1,424",4.1 out of 5 stars,"7,655"
17,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),349,4.0 out of 5 stars,4
18,Blue Tree 10 LTR Velvet School Backpack,399,4.0 out of 5 stars,"1,045"
19,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",288,4.3 out of 5 stars,46
20,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment,295,4.2 out of 5 stars,94
21,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow),399,4.0 out of 5 stars,61
22,blue tree 15 ltrs (38 Cms) backpack(INVALID DATA_red),539,4.0 out of 5 stars,218
23,blue tree 10 ltrs (35 Cms) backpack(VS-Items-3_pink),579,4.0 out of 5 stars,663
24,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby,288,5.0 out of 5 stars,1
25,ADISA Light Weight Laptop Backpack 32 Ltrs,288,4.0 out of 5 stars,"5,549"
26,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,288,3.9 out of 5 stars,"2,133"
27,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",399,3.9 out of 5 stars,712
28,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",499,3.8 out of 5 stars,631
29,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.2 out of 5 stars,"7,586"
30,ADISA Laptop Backpack 31 Ltrs,938,4.0 out of 5 stars,"8,993"
31,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)","1,999",3.9 out of 5 stars,676
32,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,599,4.2 out of 5 stars,890
33,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,839,3.4 out of 5 stars,3
